[1]	[1]	15659
[1]	[48]	14068
[41]	[1]	14051
[41]	[37]	13439
[1]	[32]	12354
[1]	[37]	12213
[41]	[32]	11866
[1]	[45]	11220
[41]	[48]	10777
[41]	[22]	10394
[41]	[45]	10146
[1;16]	[1]	9858
[1]	[41]	9768
[1;16]	[32]	9737
[1;16]	[48]	9040
[1;16]	[37]	8557
[1]	[22]	8203
[1]	[17]	7989
[41]	[17]	7484
[1]	[10]	7148
[1;16]	[22]	7123
[41]	[41]	6865
[41]	[2]	6378
[41]	[34]	6109
[41]	[36]	6074
[1]	[34]	5833
[1]	[36]	5806
[41]	[3]	5747
[1;16]	[45]	5284
[1]	[40]	5018
[1]	[46]	4999
[1]	[42]	4958
[1;16]	[17]	4736
[41]	[46]	4674
[2]	[48]	4658
[3]	[48]	4599
[2]	[32]	4553
[41]	[5]	4541
[10]	[32]	4530
[1;16]	[41]	4529
[2]	[37]	4462
[2]	[1]	4328
[10]	[48]	4272
[3]	[1]	4272
[41]	[10]	4237
[41]	[42]	4218
[10]	[37]	4175
[1]	[43]	4111
[3]	[32]	4039
[3]	[37]	3824
[1;16]	[36]	3814
[41]	[40]	3800
[32]	[32]	3652
[10]	[45]	3594
[3]	[45]	3581
[3]	[22]	3556
[1;16]	[46]	3520
[32]	[1]	3337
[32]	[37]	3335
[1]	[2]	3310
[1;16]	[34]	3273
[32]	[48]	3200
[1]	[49]	3171
[10]	[22]	3115
[2]	[22]	3030
[1;16]	[40]	2955
[41]	[43]	2945
[3]	[41]	2933
[41]	[19]	2920
[10]	[1]	2912
[1]	[19]	2865
[32]	[45]	2818
[10]	[36]	2801
[1]	[3]	2793
[10]	[17]	2734
[1]	[5]	2722
[10]	[41]	2704
[2]	[17]	2631
[3]	[17]	2631
[1]	[39]	2624
[2;16]	[22]	2608
[1;16]	[42]	2577
[1]	[24]	2559
[3]	[36]	2551
[2;16]	[32]	2541
[41]	[39]	2533
[2;16]	[48]	2533
[41]	[49]	2528
[41]	[24]	2511
[1;16]	[43]	2379
[32]	[22]	2232
[10]	[34]	2216
[32]	[17]	2096
[2;16]	[37]	2057
[2]	[10]	2029
[1]	[35]	1985
[3]	[34]	1985
[36]	[1]	1937
[3]	[42]	1933
[1;16]	[49]	1883
[5]	[48]	1877
[36]	[37]	1804
[10]	[42]	1788
[2]	[46]	1690
[36]	[48]	1660
[5]	[32]	1637
[3]	[3]	1630
[3]	[46]	1627
[32]	[41]	1615
[36]	[22]	1602
[5]	[45]	1581
[3]	[10]	1576
[10]	[46]	1574
[41]	[35]	1574
[1;16]	[39]	1549
[1;16]	[24]	1511
[1;16]	[19]	1502
[32]	[34]	1496
[5]	[37]	1466
[2]	[5]	1458
[1]	[44]	1458
[3]	[5]	1414
[3]	[40]	1397
[36]	[45]	1394
[36]	[32]	1393
[11;16]	[22]	1384
[41]	[44]	1344
[10]	[40]	1338
[2]	[3]	1326
[10]	[43]	1323
[32]	[46]	1286
[1;16]	[5]	1242
[5]	[1]	1241
[32]	[10]	1236
[2]	[45]	1236
[11;16]	[48]	1227
[32]	[36]	1209
[32]	[42]	1184
[5]	[41]	1168
[1;16]	[35]	1133
[3;16]	[48]	1129
[32]	[3]	1123
[3]	[43]	1109
[32]	[40]	1107
[5]	[17]	1076
[11;16]	[1]	1066
[36]	[17]	1045
[2;16]	[17]	1007
[3;16]	[22]	986
[10]	[39]	962
[5]	[22]	962
[10]	[49]	952
[32]	[2]	946
[32]	[39]	944
[32]	[5]	935
[3;16]	[1]	904
[11;16]	[32]	903
[36]	[34]	898
[3]	[49]	890
[3]	[2]	888
[10]	[24]	884
[3;16]	[32]	878
[32]	[43]	875
[2]	[34]	871
[2]	[2]	866
[5]	[36]	863
[5]	[42]	863
[10]	[19]	857
[5]	[34]	853
[3;16]	[37]	851
[11;16]	[37]	831
[11;16]	[45]	823
[2]	[41]	820
[36]	[3]	794
[13]	[32]	774
[3]	[24]	763
[5;16]	[48]	760
[3]	[19]	758
[3;16]	[5]	758
[3;16]	[45]	734
[3]	[39]	729
[1;16]	[10]	710
[13]	[48]	705
[2;16]	[46]	704
[5;16]	[1]	687
[13]	[37]	685
[5;16]	[37]	675
[1;16]	[44]	667
[5;16]	[32]	665
[1;16]	[3]	647
[5]	[43]	642
[36]	[2]	638
[5;16]	[22]	617
[13]	[22]	614
[36]	[41]	601
[5]	[40]	591
[32]	[24]	590
[36]	[36]	590
[2]	[36]	572
[2]	[42]	566
[13]	[45]	560
[36]	[46]	547
[5;16]	[41]	545
[3]	[35]	544
[11;16]	[17]	544
[32]	[19]	543
[10]	[35]	537
[5]	[46]	536
[36]	[10]	532
[11;16]	[46]	530
[11;16]	[41]	528
[13]	[41]	512
[36]	[40]	510
[36]	[43]	508
[5;16]	[45]	506
[4]	[22]	501
[2]	[43]	497
[4]	[48]	492
[2]	[40]	490
[3;16]	[17]	490
[32]	[49]	482
[3;16]	[36]	481
[36]	[42]	479
[3;16]	[41]	468
[36]	[35]	462
[3;16]	[3]	461
[41]	[7]	457
[3]	[44]	455
[13]	[34]	454
[13]	[1]	453
[11;16]	[36]	452
[10]	[44]	433
[36]	[39]	431
[11;16]	[34]	412
[3;16]	[40]	412
[2;16]	[45]	400
[5]	[3]	393
[13]	[17]	391
[5;16]	[5]	391
[3;16]	[34]	390
[41]	[4]	386
[11]	[37]	381
[5]	[10]	380
[13]	[36]	379
[5;16]	[17]	377
[36]	[19]	367
[36]	[5]	366
[4]	[32]	365
[41]	[20]	357
[3;16]	[42]	353
[4]	[37]	351
[2]	[49]	349
[36]	[49]	349
[3;16]	[46]	348
[5]	[19]	347
[36]	[24]	344
[2]	[19]	336
[11;16]	[3]	329
[32]	[44]	327
[5;16]	[2]	324
[11;16]	[42]	322
[2;16]	[41]	319
[13]	[43]	317
[11]	[48]	315
[12;16]	[37]	310
[5;16]	[34]	307
[2]	[24]	306
[5;16]	[36]	297
[2]	[39]	296
[13]	[42]	295
[1]	[38]	292
[5]	[44]	292
[4]	[45]	286
[11;16]	[39]	283
[1;16]	[2]	282
[3;16]	[2]	278
[5]	[39]	272
[4]	[41]	271
[13]	[5]	271
[5]	[24]	270
[3;16]	[10]	265
[12;16]	[1]	263
[41]	[18]	262
[2;16]	[34]	262
[13]	[46]	255
[1]	[18]	253
[4]	[36]	246
[5;16]	[46]	245
[4]	[40]	244
[41]	[38]	244
[11]	[45]	244
[4]	[17]	244
[11;16]	[40]	243
[5;16]	[40]	241
[4]	[5]	239
[12;16]	[45]	237
[11]	[34]	236
[13]	[3]	235
[11]	[36]	234
[12;16]	[32]	233
[13]	[40]	232
[2;16]	[36]	228
[5]	[35]	226
[11]	[32]	226
[2;16]	[42]	223
[5;16]	[42]	221
[5]	[2]	218
