prajAH	2	374
iwyAxi	2	374
wejAH	2	374
vane	2	374
icCAmi	2	373
xuHKam	2	372
AyuH	2	370
kva	2	369
wawwva	1	368
piwq	1	367
wayA	2	367
pApam	2	367
wejasA	2	366
kula	1	365
xaxarSa	2	364
xevi	2	363
wapaH	1	362
yajFa	1	361
XqwarARtraH	2	360
cawuH	1	359
yukwaH	2	355
viRNuH	2	354
bAhuH	2	354
sapwa	1	353
sarvawaH	2	353
snAwvA	2	352
rAjAnam	2	352
pANdavAH	2	352
parASaraH	2	352
paFca	1	351
sUrya	1	351
nu	2	351
paScAw	2	350
jFAwvA	2	348
pAxa	1	345
puNyam	2	345
nAga	1	344
karNaH	2	344
pawiH	2	344
anware	2	341
puwrAH	2	341
raWaH	2	339
BIma	1	337
sarvaSaH	2	336
wIrWam	2	336
prANa	1	334
kruxXaH	2	334
Xanam	2	334
kuruwe	2	333
xqSyawe	2	333
canxra	1	333
cakre	2	333
xivya	1	332
kila	2	332
mayi	2	332
gacCawi	2	330
mahawA	2	329
svam	2	329
SAswra	1	327
wrayaH	2	327
eRAm	2	325
puNya	1	325
yuXi	2	325
samaH	2	324
vIryam	2	324
jAwaH	2	324
puRpa	1	323
SreRTa	2	323
Buvi	2	322
kqRNa	1	322
xvi	1	322
jala	1	320
xiSaH	2	320
gawam	2	320
kena	2	319
pawe	2	319
AxiBiH	2	318
kqw	2	318
prAha	2	318
hema	1	318
viSAm	2	318
Goram	2	317
piwuH	2	317
viRa	1	316
kasya	2	316
uwa	2	316
kuwaH	2	315
xarSanam	2	314
brahmaNaH	2	314
xaSa	1	312
Baya	1	312
amqwam	2	311
SreRTaH	2	311
nqpa	1	311
yayO	2	310
mayaH	2	309
agnim	2	307
imAm	2	307
vAk	2	307
nqpa	2	307
xeha	1	306
Kalu	2	306
karwum	2	306
varNa	1	306
jiwa	1	306
brUhi	2	306
BImaH	2	306
jFaH	2	305
guruH	2	304
hawvA	2	304
SabxaH	2	303
swrI	1	303
sWiwam	2	301
svAhA	2	299
hawaH	2	299
sahasra	1	299
kAmaH	2	299
yukwam	2	298
paSya	2	298
BUmO	2	297
sarvEH	2	297
muKam	2	295
anwaram	2	295
pANdu	1	295
muhuH	2	295
wvayi	2	293
priyam	2	293
sawwva	1	292
rUpeNa	2	292
vIraH	2	292
wiRTawi	2	291
sAkRAw	2	291
sWam	2	290
ewAni	2	290
bahavaH	2	289
AwmanA	2	289
sarvANi	2	289
xroNaH	2	288
aswra	1	288
kaPa	1	287
amiwa	1	287
AxO	2	286
BakwyA	2	285
arhawi	2	284
qRi	1	284
gaja	1	284
vixuH	2	283
wejaH	2	283
waxvaw	2	283
kroXa	1	283
sahasraSaH	2	282
xeva	2	282
asmAkam	2	281
priya	1	281
vrawam	2	281
smqwam	2	280
prajApawiH	2	280
lokeRu	2	280
piwwa	1	279
mUlam	2	278
SuBam	2	278
anyawra	2	278
hawa	1	278
XanuH	2	278
qRiH	2	278
sawwvam	2	277
kqRNaH	2	276
ganXarva	1	276
lokAn	2	276
mayam	2	275
Apnowi	2	275
vana	1	275
lokaH	2	275
yajFaH	2	275
Sruwam	2	274
gqham	2	274
kArayew	2	273
wale	2	273
sahiwaH	2	273
Rat	1	273
viXinA	2	272
sWaH	2	271
yasmAw	2	271
brAhmaNa	1	271
kAlena	2	271
SrImAn	2	271
laBawe	2	271
puram	2	271
sAXu	2	270
mawiH	2	270
xevAn	2	270
viRNu	1	270
SiraH	2	269
hariH	2	269
xaxO	2	269
svargam	2	269
mAwram	2	268
gawAH	2	268
anna	1	268
yama	1	267
arXa	1	267
viRNoH	2	267
alpa	1	266
piwAmahaH	2	266
cakAra	2	266
rasam	2	265
inxriya	1	265
xevawAH	2	265
nAraxaH	2	265
SreRTam	2	264
BayAw	2	263
vyAsaH	2	263
marxayew	2	262
SarIram	2	261
guNAH	2	261
brAhmaNAH	2	260
vajra	1	260
pqWivIm	2	260
mqga	1	259
prANaH	2	259
hanwi	2	259
wrayam	2	258
viXiH	2	257
wriBiH	2	257
SakraH	2	257
swriyaH	2	256
arka	1	255
paxma	1	255
saMyuge	2	255
kAmam	2	254
yAni	2	254
AgawaH	2	254
rAma	1	254
varwawe	2	253
AsWAya	2	253
SuBa	1	253
SaraNam	2	253
xinam	2	253
praBo	2	252
yogena	2	252
xvayam	2	252
cakRuH	2	252
ruxra	1	252
wIrWe	2	252
raWAH	2	252
narAH	2	251
sarvawra	2	251
svarga	1	251
aXaH	2	250
manaH	1	250
aSva	1	250
kuru	2	250
vAnara	1	250
BImasenaH	2	250
xvO	2	249
maXya	1	249
uwwaram	2	249
yAnwi	2	249
rawna	1	249
kaWiwam	2	248
mqwyu	1	248
yuXiRTira	2	248
roga	1	247
prokwam	2	247
saxyaH	2	247
sahasram	2	247
uwwamaH	2	247
wasyAm	2	247
Ahave	2	247
gqhIwvA	2	246
somaH	2	245
sarveRu	2	245
afga	1	245
parasparam	2	245
wyakwvA	2	244
SarIra	1	244
xeSa	1	244
xawwam	2	243
pUjayew	2	243
ganXa	1	242
vixyA	1	242
pacew	2	242
pANdavAnAm	2	242
SafKa	1	241
sUryaH	2	240
xaH	2	240
XanaFjayaH	2	240
manye	2	239
kRayam	2	239
vakwum	2	239
mqwyuH	2	238
vixvAn	2	238
pArWaH	2	238
pArWa	2	238
hA	2	237
karmANi	2	237
buxXi	1	237
anwam	2	237
Sawru	1	237
vipra	1	236
gawa	1	235
vIrya	1	235
wIrWa	1	235
lokAH	2	235
Xana	1	234
yaSaH	2	234
SuciH	2	234
SanEH	2	233
AxiRu	2	233
nqpaH	2	233
prIwaH	2	233
karNa	1	232
karwavyam	2	232
bahiH	2	232
Sakwi	1	231
ekena	2	231
sixXim	2	230
kriyA	1	230
prApwaH	2	230
anuwwamam	2	230
xevasya	2	229
guNEH	2	229
gacCew	2	228
gawe	2	227
rAmam	2	227
qwe	2	226
mahAwmanA	2	226
yasmin	2	225
anu	2	225
yuga	1	225
SreyaH	2	225
rAjFA	2	225
kaWaFcana	2	224
lokasya	2	224
prasAxAw	2	224
XanvanwariH	2	223
wamaH	2	223
vixXi	2	223
xraRtum	2	223
vAcA	2	223
vegena	2	222
yeRAm	2	222
anyonyam	2	222
upari	2	221
anwara	1	221
xEwya	1	221
pANdavaH	2	221
syuH	2	220
prANAn	2	220
aswram	2	220
xAnava	1	220
lifgam	2	219
vIra	1	219
mune	2	219
AxyAH	2	218
janAH	2	218
axBuwam	2	218
nUnam	2	218
apare	2	217
vqwaH	2	217
kule	2	217
mAwA	2	217
mAyA	1	216
jalam	2	216
koti	1	215
karNam	2	215
kA	2	215
vIryavAn	2	215
asura	1	215
samAsAxya	2	214
munayaH	2	214
bahuBiH	2	214
agre	2	214
puruRam	2	214
ime	2	214
karmaNi	2	213
XarmeNa	2	213
anaGa	2	213
prApwam	2	212
pibew	2	212
gaxA	1	212
giri	1	212
prawyuvAca	2	212
mAwreNa	2	211
manasaH	2	211
AxInAm	2	211
Saswra	1	211
cakra	1	211
vAsuxevaH	2	211
sixXi	1	210
mUla	1	210
Sabxa	1	210
viRam	2	210
ruxraH	2	210
gacCa	2	210
inxrasya	2	210
safgrAme	2	210
Awmani	2	209
Agawam	2	208
alam	2	208
rAmasya	2	208
rAkRasAH	2	207
wriRu	2	207
kAFcanam	2	207
sixXiH	2	206
vixyAw	2	206
weByaH	2	206
iwaH	2	206
inxriyaH	2	205
eRaH	2	205
jaH	2	205
yogam	2	204
karaH	2	204
janma	1	204
amqwa	1	203
