Pala	n. sg. nom.			291
kva	ind.			289
vAyu	m. sg. nom.			288
yA	pr. [2] ac. sg. 3			288
ixam	m. sg. i.			286
paScAw	ind.			286
wax	n. sg. g.			286
kAla	m. sg. nom.			286
mahaw	n. sg. nom.			285
xevI	f. sg. voc.			281
kila	ind.			280
kq	pr. [8] md. sg. 3			278
wax	m. du. g.			278
prAh	pft. ac. sg. 3			277
rasa	m. sg. nom.			275
prajApawi	m. sg. nom.			275
sarvawas	ind.			274
wax	f. sg. g.			274
kruxXa	m. sg. nom.	kruX	pp.	273
bala	n. sg. nom.			272
arWa	m. sg. nom.			271
anyawra	ind.			270
xA	abs.			270
sarvaSas	ind.			270
viRNu	m. sg. nom.			265
wax	m. pl. loc.			264
brAhmaNa	m. sg. nom.			264
kq	inf.			263
xqS	pr. ps. sg. 3			263
gam	pr. [1] ac. sg. 3			260
kq	pft. md. sg. 3			260
para	n. sg. acc.			259
paS	imp. [4] ac. sg. 2			256
asmax	* sg. dat.			255
piwq	m. sg. nom.			255
kuwas	ind.			254
ixam	f. sg. acc.			254
yuRmax	* pl. g.			254
eka	m. sg. acc.			252
jAwa	m. sg. nom.	jan	pp.	252
rAjan	m. sg. acc.			251
sarvawra	ind.			250
rUpa	n. sg. nom.			250
yuX	f. sg. loc.			249
uBa	m. du. nom.			248
karNa	m. sg. nom.			248
smqwa	n. sg. nom.	smq	pp.	247
nu	ind.			247
kim	m. sg. g.			246
anwar	ind.			245
kAraNa	n. sg. nom.			244
anyaWA	ind.			243
wapas	n. sg. i.			243
yax	f. sg. nom.			242
wax	m. sg. abl.			241
sAkRAw	ind.			241
viS	f. pl. g.			241
mqx	ca. opt. ac. sg. 3			240
yuXiRTira	m. sg. nom.			240
svAhA	ind.			239
para	m. sg. nom.			239
iwyAxi	n. sg. nom.			238
piwq	m. sg. g.			237
muni	m. sg. nom.			235
yA	pft. ac. sg. 3			235
kq	ca. opt. ac. sg. 3			234
xuryoXana	m. sg. nom.			234
wapas	n. sg. nom.			233
kq	pft. ac. sg. 3			233
waxvaw	ind.			232
parama	n. sg. nom.			231
pawi	m. sg. voc.			231
BU	abs.			230
laB	pr. [1] md. sg. 3			230
sahasraSas	ind.			230
kAla	m. sg. i.			229
snA	abs.			229
bala	n. sg. acc.			228
suKa	n. sg. acc.			226
ixam	m. pl. g.			226
mahAwman	m. sg. i.			226
Kalu	ind.			225
arh	pr. [1] ac. sg. 3			225
yuRmax	* sg. loc.			225
saMyuga	n. sg. loc.			225
SrImaw	m. sg. nom.			224
hari	m. sg. nom.			224
viRNu	m. sg. g.			224
xA	pft. ac. sg. 3			224
Ap	pr. [5] ac. sg. 3			223
vIra	m. sg. nom.			223
asmax	* sg. loc.			223
uwwama	n. sg. nom.			222
uwwama	n. sg. acc.			222
sWA	pr. [1] ac. sg. 3			222
