ca	2	40602
na	2	12667
eva	2	11584
wu	2	8981
iwi	2	8431
api	2	8050
waw	2	6538
sa	2	6272
wawaH	2	6202
waWA	2	5746
mahA	1	5478
we	2	4927
hi	2	4516
wawra	2	3918
sarva	1	3574
wasya	2	3512
wam	2	3435
iva	2	3363
uvAca	2	3323
evam	2	3255
yaH	2	3045
aham	2	2939
yaw	2	2823
punaH	2	2801
vA	2	2616
yaWA	2	2518
ewaw	2	2514
waw	1	2508
vE	2	2481
me	2	2340
aWa	2	2310
wvam	2	2037
ixam	2	2000
waxA	2	1843
awra	2	1838
ayam	2	1769
wena	2	1706
Xarma	1	1670
kim	2	1653
saH	2	1630
saha	2	1625
Bavew	2	1614
sarvam	2	1598
wava	2	1587
asya	2	1543
mama	2	1497
iha	2	1469
sva	1	1409
sarve	2	1359
rAjan	2	1312
arWam	2	1277
syAw	2	1256
weRAm	2	1192
abravIw	2	1188
Bavawi	2	1161
xqRtvA	2	1135
namaH	2	1118
yaxi	2	1104
Aha	2	1089
sA	2	1070
xeva	1	1065
yawra	2	1061
ha	2	1058
wAm	2	1056
kaWam	2	1041
rAja	1	1039
rAjA	2	1037
ye	2	1022
param	2	1021
mAm	2	1020
BArawa	2	1002
mayA	2	991
aswi	2	983
nAma	2	979
Palam	2	945
wasmin	2	940
wAn	2	938
eRa	2	937
ukwam	2	918
axya	2	913
SruwvA	2	899
kqwvA	2	883
brahma	1	881
Axi	1	829
karma	2	804
aBavaw	2	791
balam	2	772
yasya	2	772
asi	2	764
arWa	1	763
puwraH	2	747
svayam	2	741
ucyawe	2	739
kqwam	2	734
kuryAw	2	711
kaH	2	710
rUpam	2	703
saxA	2	700
wasmAw	2	699
jAyawe	2	684
BagavAn	2	684
vacanam	2	684
ukwaH	2	680
uwwamam	2	674
sma	2	668
asO	2	655
wO	2	654
parama	1	649
wvAm	2	642
naH	2	640
wvayA	2	634
yAvaw	2	629
nara	1	618
loka	1	616
kqwa	1	615
eka	1	615
AwmA	2	611
purA	2	606
XarmaH	2	604
saMSayaH	2	600
raNe	2	599
mahaw	2	596
kAla	1	588
loke	2	584
Awma	1	584
puruRa	1	582
AwmAnam	2	579
yawaH	2	576
para	1	568
wapaH	2	555
sawyam	2	553
paramam	2	552
vacaH	2	550
ekam	2	545
AwmanaH	2	544
awaH	2	543
Barawa	1	543
kAle	2	541
bala	1	539
sarvAn	2	539
yena	2	538
asmi	2	537
pUrva	1	535
naraH	2	534
wri	1	534
BaviRyawi	2	532
ukwvA	2	525
prawi	2	524
maXye	2	522
anyaw	2	522
karma	1	521
rasa	1	519
guNa	1	515
kAma	1	514
agni	1	513
gawaH	2	509
sawya	1	505
wEH	2	501
SqNu	2	501
agniH	2	491
raWa	1	489
qRaBa	2	488
wAvaw	2	480
Pala	1	479
AhuH	2	473
brahma	2	471
sarveRAm	2	470
AsIw	2	469
suKam	2	463
manaH	2	463
pApa	1	463
anye	2	458
aBUw	2	457
arhasi	2	455
wAwa	2	455
Sara	1	453
mahAwmanaH	2	452
xevaH	2	451
ewe	2	449
yaxA	2	449
samyak	2	448
inxra	2	448
Sawam	2	447
kAraNam	2	446
vexa	1	445
sama	1	444
puwra	1	438
brahmA	2	438
Sawa	1	436
asmin	2	433
anena	2	432
ekaH	2	432
puruRaH	2	432
lokam	2	424
imam	2	424
suKa	1	420
Xarmam	2	418
xivyam	2	414
paxam	2	410
pqWak	2	408
prApya	2	406
kuru	1	406
varam	2	405
maw	1	403
samam	2	401
aswu	2	397
bahu	1	395
mahAn	2	395
vara	1	391
yoga	1	384
varaH	2	383
arWaH	2	383
Bavanwi	2	379
vaH	2	377
sahasrANi	2	374
smqwaH	2	373
BavAn	2	372
rAmaH	2	369
wAni	2	365
anwaH	2	361
iyam	2	360
SarEH	2	360
XqwarARtraH	2	360
cew	2	359
paraH	2	357
lakRaNam	2	355
xoRa	1	354
iwyAxi	2	354
balaH	2	354
anwe	2	352
xaxyAw	2	352
puwram	2	352
sWiwaH	2	351
AxayaH	2	351
parASaraH	2	351
praBuH	2	349
sura	1	348
inxraH	2	347
arWe	2	346
xevAnAm	2	346
muni	1	344
raWam	2	344
xevam	2	342
viw	2	340
gawvA	2	340
kAlaH	2	337
karowi	2	336
vayam	2	336
rUpa	1	334
kAlam	2	334
annam	2	333
jFAnam	2	332
weRu	2	332
gawim	2	331
SrI	1	330
wasmE	2	329
icCAmi	2	329
AxAya	2	328
jagAma	2	328
wayoH	2	326
sWAnam	2	326
baBUva	2	326
wvaw	1	325
pApam	2	324
Bayam	2	323
xevAH	2	323
uBO	2	322
guru	1	321
puNyam	2	320
xaxarSa	2	320
anyaH	2	319
nAnA	2	318
rAjFaH	2	318
varRa	1	317
Soka	1	316
jFAna	1	316
qRayaH	2	316
rasaH	2	313
inxra	1	312
yam	2	310
muniH	2	310
Siva	1	308
vanam	2	308
sapwa	1	307
paFca	1	305
sUrya	1	305
piwq	1	305
cawuH	1	304
wIrWam	2	303
xuHKam	2	302
kqwaH	2	301
xAnam	2	301
wawwva	1	300
bAhuH	2	300
AyuH	2	299
vixyawe	2	298
cakre	2	295
xuHKa	1	293
yajFa	1	292
brUhi	2	292
vAyuH	2	291
