a	a	2	19583
a	s	2	17452
m	a	2	16850
a	a	1	15846
a	w	2	15622
m	p	2	15584
a	p	2	14537
m	w	2	14261
a	v	2	14181
a	s	1	13546
a	v	1	12959
m	s	2	12927
m	v	2	12770
aH	w	2	12129
a	m	2	12004
aH	a	2	11960
m	c	2	11752
a	A	1	11363
aH	s	2	11152
a	p	1	10859
aH	p	2	10401
a	c	2	10075
a	k	2	9546
a	k	1	8943
m	k	2	8916
aH	u	2	8660
a	e	2	8636
aH	c	2	8412
m	m	2	8147
m	A	2	7526
m	x	2	7456
m	n	2	7206
a	x	2	7187
a	n	2	7128
aH	v	2	6832
m	i	2	6815
a	m	1	6730
i	a	2	6467
a	y	2	6321
A	s	2	6152
a	B	2	5937
A	w	2	5903
a	S	2	5895
a	x	1	5849
aH	k	2	5753
i	s	2	5729
e	w	2	5728
A	p	2	5704
A	a	2	5657
m	u	2	5617
m	S	2	5559
aH	m	2	5545
a	u	1	5421
a	S	1	5394
e	s	2	5383
e	p	2	5174
m	y	2	5144
i	w	2	5116
a	r	2	5093
m	e	2	5089
A	v	2	4964
i	v	2	4652
aH	n	2	4651
i	p	2	4586
m	B	2	4567
e	v	2	4560
w	w	2	4411
aH	S	2	4309
a	A	2	4189
i	c	2	4174
a	h	2	4162
a	g	1	4095
aH	x	2	4054
w	a	2	4034
a	r	1	3979
w	p	2	3925
w	s	2	3871
a	n	1	3820
A	c	2	3807
e	c	2	3763
aH	B	2	3718
e	a	2	3668
AH	w	2	3657
i	m	2	3625
a	g	2	3578
a	i	2	3573
AH	s	2	3569
w	v	2	3566
AH	c	2	3558
a	u	2	3557
m	r	2	3551
m	g	2	3521
A	m	2	3495
a	B	1	3488
A	k	2	3415
e	n	2	3409
e	m	2	3397
aH	y	2	3374
a	j	1	3336
e	k	2	3257
i	n	2	3209
i	k	2	3204
a	b	2	3184
A	x	2	3180
a	j	2	3097
m	h	2	3072
aH	r	2	3052
m	b	2	3043
m	j	2	3000
AH	p	2	2860
e	x	2	2809
A	n	2	2753
a	w	1	2746
a	l	1	2623
A	e	2	2602
w	c	2	2594
i	y	2	2579
w	k	2	2509
a	X	2	2485
w	m	2	2476
aH	i	2	2467
i	x	2	2438
aH	e	2	2438
i	e	2	2436
aH	h	2	2379
n	a	2	2337
e	y	2	2332
u	s	2	2291
A	B	2	2246
A	S	2	2195
i	u	2	2185
n	p	2	2171
a	y	1	2129
A	y	2	2122
a	i	1	2064
i	i	2	2052
u	w	2	2048
n	s	2	2042
a	X	1	2029
w	n	2	2013
a	h	1	2012
i	S	2	1991
AH	v	2	1970
A	r	2	1950
u	v	2	1929
e	S	2	1922
a	c	1	1918
aH	b	2	1915
m	X	2	1870
u	a	2	1844
aH	j	2	1842
n	c	2	1840
i	s	1	1830
A	i	2	1823
aH	g	2	1806
a	l	2	1795
a	b	1	1773
w	x	2	1765
n	w	2	1763
n	v	2	1762
e	B	2	1737
w	S	2	1734
u	p	2	1722
A	u	2	1703
i	B	2	1673
e	r	2	1667
EH	c	2	1596
m	l	2	1594
w	e	2	1526
w	y	2	1517
A	h	2	1507
EH	s	2	1495
i	p	1	1483
AH	k	2	1473
iH	s	2	1451
i	A	2	1430
w	i	2	1420
AH	m	2	1417
A	a	1	1393
A	b	1	1380
a	q	1	1372
u	m	2	1370
i	r	2	1359
w	B	2	1357
aH	X	2	1352
u	k	2	1325
A	g	2	1325
i	v	1	1292
n	k	2	1270
AH	n	2	1252
EH	a	2	1247
e	h	2	1203
A	b	2	1194
w	A	2	1191
n	x	2	1172
e	b	2	1168
A	A	2	1146
w	u	2	1145
iH	w	2	1145
iH	c	2	1133
w	b	2	1113
i	h	2	1112
e	j	2	1109
u	c	2	1106
iH	a	2	1104
EH	w	2	1090
A	j	2	1088
n	m	2	1083
AH	x	2	1073
e	g	2	1068
iH	p	2	1065
i	k	1	1065
u	y	2	1049
u	x	2	1047
w	r	2	1043
EH	v	2	1043
AH	S	2	1041
n	n	2	1034
u	n	2	1030
A	v	1	1026
AH	y	2	1014
EH	p	2	1002
i	j	2	974
O	w	2	971
iH	v	2	963
uH	s	2	955
A	r	1	955
n	i	2	952
i	g	2	928
A	p	1	922
i	b	2	904
aH	A	2	901
uH	p	2	889
O	s	2	884
A	m	1	859
uH	w	2	857
O	p	2	843
uH	a	2	840
a	I	1	831
iH	u	2	827
aH	l	2	824
u	p	1	820
A	A	1	818
i	m	1	811
w	p	1	809
i	a	1	808
A	w	1	802
AH	B	2	788
A	X	2	770
u	r	2	765
n	A	2	762
AH	r	2	757
i	x	1	735
uH	c	2	731
O	c	2	729
w	a	1	723
w	j	2	709
u	s	1	709
e	X	2	707
i	X	2	703
O	v	2	703
u	B	2	702
i	S	1	700
A	s	1	698
n	S	2	695
uH	m	2	695
u	v	1	684
O	a	2	684
AH	i	2	684
a	P	1	673
w	g	2	657
n	B	2	657
uH	v	2	652
n	r	2	646
u	S	2	644
I	s	2	641
EH	S	2	637
EH	k	2	635
n	e	2	630
AH	h	2	625
n	y	2	622
A	l	2	620
e	i	2	620
EH	m	2	615
O	m	2	615
u	i	2	615
iH	n	2	601
iH	k	2	599
AH	a	2	594
A	k	1	594
u	e	2	594
iH	m	2	593
I	c	2	591
iH	i	2	587
a	G	1	584
w	h	2	583
i	l	2	571
O	x	2	559
e	l	2	558
AH	b	2	552
iH	B	2	549
n	b	2	543
w	X	2	540
w	k	1	536
EH	n	2	528
w	v	1	513
E	p	2	513
n	X	2	507
A	q	1	503
w	s	1	496
AH	g	2	493
iH	y	2	492
iH	x	2	491
m	q	2	490
uH	k	2	487
EH	x	2	485
O	k	2	482
e	e	2	473
I	p	2	470
u	m	1	467
AH	j	2	466
I	w	2	463
A	x	1	461
i	g	1	459
a	o	1	459
i	n	1	459
E	s	2	459
O	n	2	456
n	g	2	454
u	k	1	450
m	I	2	449
n	u	2	447
uH	u	2	439
iH	S	2	437
w	m	1	426
n	h	2	423
A	y	1	422
n	j	2	417
A	i	1	413
u	n	1	406
EH	y	2	406
u	g	2	403
uH	A	2	402
I	p	1	401
uH	n	2	401
uH	x	2	397
m	G	2	397
w	l	2	394
EH	i	2	386
I	v	2	386
O	r	2	384
I	m	1	381
O	u	2	374
A	u	1	374
iH	A	2	368
i	r	1	367
I	m	2	367
i	B	1	363
O	y	2	360
oH	p	2	357
a	C	1	350
E	w	2	347
oH	a	2	340
iH	e	2	340
A	S	1	339
O	i	2	339
u	A	2	337
E	x	2	335
u	l	2	331
u	b	2	330
a	P	2	329
uH	B	2	328
u	j	2	328
E	v	2	327
EH	b	2	325
i	y	1	324
e	A	2	323
u	S	1	321
I	B	2	320
uH	S	2	316
uH	y	2	313
w	g	1	312
O	S	2	311
w	A	1	311
m	K	2	307
I	n	2	306
a	K	2	306
AH	X	2	305
A	g	1	304
i	j	1	300
i	h	1	295
O	B	2	294
I	k	2	292
a	e	1	287
oH	v	2	286
i	w	1	285
oH	w	2	281
aH	U	2	281
I	u	2	278
u	X	2	275
m	P	2	275
EH	B	2	274
E	n	2	273
u	a	1	267
iH	b	2	267
uH	i	2	263
oH	s	2	259
u	x	1	258
A	B	1	254
A	n	1	253
EH	h	2	251
I	x	2	247
I	y	2	241
i	A	1	241
aH	v	1	241
EH	u	2	240
k	p	2	239
EH	g	2	238
E	e	2	228
I	S	2	227
i	K	2	226
iH	j	2	226
eH	p	2	224
u	h	2	223
uH	b	2	223
E	m	2	223
w	B	1	222
a	G	2	220
a	K	1	219
E	k	2	217
EH	A	2	217
oH	c	2	216
I	i	2	215
uH	e	2	213
oH	m	2	212
u	r	1	212
O	g	2	212
w	w	1	212
i	l	1	208
u	u	2	208
EH	e	2	207
I	w	1	205
iH	g	2	202
aH	K	2	202
u	B	1	201
w	x	1	198
aH	s	1	197
w	P	2	197
O	j	2	196
e	u	2	195
eH	a	2	195
iH	h	2	193
w	q	2	193
I	r	2	192
eH	w	2	190
m	U	2	190
O	e	2	188
O	h	2	187
AH	l	2	186
m	C	2	185
a	C	2	185
a	I	2	184
AH	e	2	184
u	j	1	182
O	A	2	182
n	q	2	182
m	E	2	181
E	a	2	180
I	s	1	179
w	n	1	178
uH	g	2	177
A	j	1	176
u	g	1	176
aH	G	2	176
i	b	1	175
aH	m	1	174
O	b	2	174
I	v	1	173
A	X	1	167
aH	a	1	167
I	j	2	165
k	a	2	165
E	y	2	162
EH	j	2	162
I	x	1	162
u	w	1	158
eH	v	2	154
e	G	2	153
w	S	1	153
w	r	1	151
i	X	1	151
iH	X	2	150
aH	g	1	148
AH	U	2	148
i	c	1	146
eH	c	2	146
uH	j	2	145
u	u	1	145
u	l	1	143
oH	k	2	143
I	b	2	143
I	k	1	142
a	U	1	138
aH	p	1	138
A	h	1	138
AH	u	2	137
u	A	1	137
uH	X	2	137
k	v	2	135
u	b	1	134
eH	s	2	133
E	S	2	133
aH	P	2	132
aH	C	2	131
uH	h	2	130
k	s	2	130
A	K	2	129
I	S	1	128
oH	i	2	126
t	m	1	126
I	a	2	126
m	R	2	125
E	b	2	124
I	g	2	123
w	j	1	122
i	u	1	119
A	G	2	118
E	B	2	118
oH	n	2	117
a	U	2	116
a	R	2	116
q	x	1	116
a	q	2	112
EH	r	2	112
I	g	1	111
A	c	1	111
w	u	1	108
oH	x	2	108
EH	X	2	108
