[1]	[1]	2	19583
[1]	[48]	2	17452
[41]	[1]	2	16850
[1]	[1]	1	15846
[1]	[32]	2	15622
[41]	[37]	2	15584
[1]	[37]	2	14537
[41]	[32]	2	14261
[1]	[45]	2	14181
[1]	[48]	1	13546
[1]	[45]	1	12959
[41]	[48]	2	12927
[41]	[45]	2	12770
[1;16]	[32]	2	12129
[1]	[41]	2	12004
[1;16]	[1]	2	11960
[41]	[22]	2	11752
[1]	[2]	1	11363
[1;16]	[48]	2	11152
[1]	[37]	1	10859
[1;16]	[37]	2	10401
[1]	[22]	2	10075
[1]	[17]	2	9546
[1]	[17]	1	8943
[41]	[17]	2	8916
[1;16]	[5]	2	8660
[1]	[10]	2	8636
[1;16]	[22]	2	8412
[41]	[41]	2	8147
[41]	[2]	2	7526
[41]	[34]	2	7456
[41]	[36]	2	7206
[1]	[34]	2	7187
[1]	[36]	2	7128
[1;16]	[45]	2	6832
[41]	[3]	2	6815
[1]	[41]	1	6730
[3]	[1]	2	6467
[1]	[42]	2	6321
[2]	[48]	2	6152
[1]	[40]	2	5937
[2]	[32]	2	5903
[1]	[46]	2	5895
[1]	[34]	1	5849
[1;16]	[17]	2	5753
[3]	[48]	2	5729
[10]	[32]	2	5728
[2]	[37]	2	5704
[2]	[1]	2	5657
[41]	[5]	2	5617
[41]	[46]	2	5559
[1;16]	[41]	2	5545
[1]	[5]	1	5421
[1]	[46]	1	5394
[10]	[48]	2	5383
[10]	[37]	2	5174
[41]	[42]	2	5144
[3]	[32]	2	5116
[1]	[43]	2	5093
[41]	[10]	2	5089
[2]	[45]	2	4964
[3]	[45]	2	4652
[1;16]	[36]	2	4651
[3]	[37]	2	4586
[41]	[40]	2	4567
[10]	[45]	2	4560
[32]	[32]	2	4411
[1;16]	[46]	2	4309
[1]	[2]	2	4189
[3]	[22]	2	4174
[1]	[49]	2	4162
[1]	[19]	1	4095
[1;16]	[34]	2	4054
[32]	[1]	2	4034
[1]	[43]	1	3979
[32]	[37]	2	3925
[32]	[48]	2	3871
[1]	[36]	1	3820
[2]	[22]	2	3807
[10]	[22]	2	3763
[1;16]	[40]	2	3718
[10]	[1]	2	3668
[2;16]	[32]	2	3657
[3]	[41]	2	3625
[1]	[19]	2	3578
[1]	[3]	2	3573
[2;16]	[48]	2	3569
[32]	[45]	2	3566
[2;16]	[22]	2	3558
[1]	[5]	2	3557
[41]	[43]	2	3551
[41]	[19]	2	3521
[2]	[41]	2	3495
[1]	[40]	1	3488
[2]	[17]	2	3415
[10]	[36]	2	3409
[10]	[41]	2	3397
[1;16]	[42]	2	3374
[1]	[24]	1	3336
[10]	[17]	2	3257
[3]	[36]	2	3209
[3]	[17]	2	3204
[1]	[39]	2	3184
[2]	[34]	2	3180
[1]	[24]	2	3097
[41]	[49]	2	3072
[1;16]	[43]	2	3052
[41]	[39]	2	3043
[41]	[24]	2	3000
[2;16]	[37]	2	2860
[10]	[34]	2	2809
[2]	[36]	2	2753
[1]	[32]	1	2746
[1]	[44]	1	2623
[2]	[10]	2	2602
[32]	[22]	2	2594
[3]	[42]	2	2579
[32]	[17]	2	2509
[1]	[35]	2	2485
[32]	[41]	2	2476
[1;16]	[3]	2	2467
[3]	[34]	2	2438
[1;16]	[10]	2	2438
[3]	[10]	2	2436
[1;16]	[49]	2	2379
[36]	[1]	2	2337
[10]	[42]	2	2332
[5]	[48]	2	2291
[2]	[40]	2	2246
[2]	[46]	2	2195
[3]	[5]	2	2185
[36]	[37]	2	2171
[1]	[42]	1	2129
[2]	[42]	2	2122
[1]	[3]	1	2064
[3]	[3]	2	2052
[5]	[32]	2	2048
[36]	[48]	2	2042
[1]	[35]	1	2029
[32]	[36]	2	2013
[1]	[49]	1	2012
[3]	[46]	2	1991
[2;16]	[45]	2	1970
[2]	[43]	2	1950
[5]	[45]	2	1929
[10]	[46]	2	1922
[1]	[22]	1	1918
[1;16]	[39]	2	1915
[41]	[35]	2	1870
[5]	[1]	2	1844
[1;16]	[24]	2	1842
[36]	[22]	2	1840
[3]	[48]	1	1830
[2]	[3]	2	1823
[1;16]	[19]	2	1806
[1]	[44]	2	1795
[1]	[39]	1	1773
[32]	[34]	2	1765
[36]	[32]	2	1763
[36]	[45]	2	1762
[10]	[40]	2	1737
[32]	[46]	2	1734
[5]	[37]	2	1722
[2]	[5]	2	1703
[3]	[40]	2	1673
[10]	[43]	2	1667
[11;16]	[22]	2	1596
[41]	[44]	2	1594
[32]	[10]	2	1526
[32]	[42]	2	1517
[2]	[49]	2	1507
[11;16]	[48]	2	1495
[3]	[37]	1	1483
[2;16]	[17]	2	1473
[3;16]	[48]	2	1451
[3]	[2]	2	1430
[32]	[3]	2	1420
[2;16]	[41]	2	1417
[2]	[1]	1	1393
[2]	[39]	1	1380
[1]	[7]	1	1372
[5]	[41]	2	1370
[3]	[43]	2	1359
[32]	[40]	2	1357
[1;16]	[35]	2	1352
[5]	[17]	2	1325
[2]	[19]	2	1325
[3]	[45]	1	1292
[36]	[17]	2	1270
[2;16]	[36]	2	1252
[11;16]	[1]	2	1247
[10]	[49]	2	1203
[2]	[39]	2	1194
[32]	[2]	2	1191
[36]	[34]	2	1172
[10]	[39]	2	1168
[2]	[2]	2	1146
[32]	[5]	2	1145
[3;16]	[32]	2	1145
[3;16]	[22]	2	1133
[32]	[39]	2	1113
[3]	[49]	2	1112
[10]	[24]	2	1109
[5]	[22]	2	1106
[3;16]	[1]	2	1104
[11;16]	[32]	2	1090
[2]	[24]	2	1088
[36]	[41]	2	1083
[2;16]	[34]	2	1073
[10]	[19]	2	1068
[3;16]	[37]	2	1065
[3]	[17]	1	1065
[5]	[42]	2	1049
[5]	[34]	2	1047
[32]	[43]	2	1043
[11;16]	[45]	2	1043
[2;16]	[46]	2	1041
[36]	[36]	2	1034
[5]	[36]	2	1030
[2]	[45]	1	1026
[2;16]	[42]	2	1014
[11;16]	[37]	2	1002
[3]	[24]	2	974
[13]	[32]	2	971
[3;16]	[45]	2	963
[5;16]	[48]	2	955
[2]	[43]	1	955
[36]	[3]	2	952
[3]	[19]	2	928
[2]	[37]	1	922
[3]	[39]	2	904
[1;16]	[2]	2	901
[5;16]	[37]	2	889
[13]	[48]	2	884
[2]	[41]	1	859
[5;16]	[32]	2	857
[13]	[37]	2	843
[5;16]	[1]	2	840
[1]	[4]	1	831
[3;16]	[5]	2	827
[1;16]	[44]	2	824
[5]	[37]	1	820
[2]	[2]	1	818
[3]	[41]	1	811
[32]	[37]	1	809
[3]	[1]	1	808
[2]	[32]	1	802
[2;16]	[40]	2	788
[2]	[35]	2	770
[5]	[43]	2	765
[36]	[2]	2	762
[2;16]	[43]	2	757
[3]	[34]	1	735
[5;16]	[22]	2	731
[13]	[22]	2	729
[32]	[1]	1	723
[32]	[24]	2	709
[5]	[48]	1	709
[10]	[35]	2	707
[3]	[35]	2	703
[13]	[45]	2	703
[5]	[40]	2	702
[3]	[46]	1	700
[2]	[48]	1	698
[36]	[46]	2	695
[5;16]	[41]	2	695
[5]	[45]	1	684
[13]	[1]	2	684
[2;16]	[3]	2	684
[1]	[38]	1	673
[32]	[19]	2	657
[36]	[40]	2	657
[5;16]	[45]	2	652
[36]	[43]	2	646
[5]	[46]	2	644
[4]	[48]	2	641
[11;16]	[46]	2	637
[11;16]	[17]	2	635
[36]	[10]	2	630
[2;16]	[49]	2	625
[36]	[42]	2	622
[2]	[44]	2	620
[10]	[3]	2	620
[11;16]	[41]	2	615
[13]	[41]	2	615
[5]	[3]	2	615
[3;16]	[36]	2	601
[3;16]	[17]	2	599
[2;16]	[1]	2	594
[2]	[17]	1	594
[5]	[10]	2	594
[3;16]	[41]	2	593
[4]	[22]	2	591
[3;16]	[3]	2	587
[1]	[20]	1	584
[32]	[49]	2	583
[3]	[44]	2	571
[13]	[34]	2	559
[10]	[44]	2	558
[2;16]	[39]	2	552
[3;16]	[40]	2	549
[36]	[39]	2	543
[32]	[35]	2	540
[32]	[17]	1	536
[11;16]	[36]	2	528
[32]	[45]	1	513
[11]	[37]	2	513
[36]	[35]	2	507
[2]	[7]	1	503
[32]	[48]	1	496
[2;16]	[19]	2	493
[3;16]	[42]	2	492
[3;16]	[34]	2	491
[41]	[7]	2	490
[5;16]	[17]	2	487
[11;16]	[34]	2	485
[13]	[17]	2	482
[10]	[10]	2	473
[4]	[37]	2	470
[5]	[41]	1	467
[2;16]	[24]	2	466
[4]	[32]	2	463
[2]	[34]	1	461
[3]	[19]	1	459
[1]	[12]	1	459
[3]	[36]	1	459
[11]	[48]	2	459
[13]	[36]	2	456
[36]	[19]	2	454
[5]	[17]	1	450
[41]	[4]	2	449
[36]	[5]	2	447
[5;16]	[5]	2	439
[3;16]	[46]	2	437
[32]	[41]	1	426
[36]	[49]	2	423
[2]	[42]	1	422
[36]	[24]	2	417
[2]	[3]	1	413
[5]	[36]	1	406
[11;16]	[42]	2	406
[5]	[19]	2	403
[5;16]	[2]	2	402
[4]	[37]	1	401
[5;16]	[36]	2	401
[5;16]	[34]	2	397
[41]	[20]	2	397
[32]	[44]	2	394
[11;16]	[3]	2	386
[4]	[45]	2	386
[13]	[43]	2	384
[4]	[41]	1	381
[13]	[5]	2	374
[2]	[5]	1	374
[3;16]	[2]	2	368
[3]	[43]	1	367
[4]	[41]	2	367
[3]	[40]	1	363
[13]	[42]	2	360
[12;16]	[37]	2	357
[1]	[23]	1	350
[11]	[32]	2	347
[12;16]	[1]	2	340
[3;16]	[10]	2	340
[2]	[46]	1	339
[13]	[3]	2	339
[5]	[2]	2	337
[11]	[34]	2	335
[5]	[44]	2	331
[5]	[39]	2	330
[1]	[38]	2	329
[5;16]	[40]	2	328
[5]	[24]	2	328
[11]	[45]	2	327
[11;16]	[39]	2	325
[3]	[42]	1	324
[10]	[2]	2	323
[5]	[46]	1	321
[4]	[40]	2	320
[5;16]	[46]	2	316
[5;16]	[42]	2	313
[32]	[19]	1	312
[13]	[46]	2	311
[32]	[2]	1	311
[41]	[18]	2	307
[4]	[36]	2	306
[1]	[18]	2	306
[2;16]	[35]	2	305
[2]	[19]	1	304
[3]	[24]	1	300
[3]	[49]	1	295
[13]	[40]	2	294
[4]	[17]	2	292
[1]	[10]	1	287
[12;16]	[45]	2	286
[3]	[32]	1	285
[12;16]	[32]	2	281
[1;16]	[6]	2	281
[4]	[5]	2	278
[5]	[35]	2	275
[41]	[38]	2	275
[11;16]	[40]	2	274
[11]	[36]	2	273
[5]	[1]	1	267
[3;16]	[39]	2	267
[5;16]	[3]	2	263
[12;16]	[48]	2	259
[5]	[34]	1	258
[2]	[40]	1	254
[2]	[36]	1	253
[11;16]	[49]	2	251
[4]	[34]	2	247
[4]	[42]	2	241
[3]	[2]	1	241
[1;16]	[45]	1	241
[11;16]	[5]	2	240
[17]	[37]	2	239
[11;16]	[19]	2	238
[11]	[10]	2	228
[4]	[46]	2	227
[3]	[18]	2	226
[3;16]	[24]	2	226
[10;16]	[37]	2	224
[5]	[49]	2	223
[5;16]	[39]	2	223
[11]	[41]	2	223
[32]	[40]	1	222
[1]	[20]	2	220
[1]	[18]	1	219
[11]	[17]	2	217
[11;16]	[2]	2	217
[12;16]	[22]	2	216
[4]	[3]	2	215
[5;16]	[10]	2	213
[12;16]	[41]	2	212
[5]	[43]	1	212
[13]	[19]	2	212
[32]	[32]	1	212
[3]	[44]	1	208
[5]	[5]	2	208
[11;16]	[10]	2	207
[4]	[32]	1	205
[3;16]	[19]	2	202
