ca	ca	conj.			35235
na	na	part.			11084
eva	eva	prep.			10412
uvAca	vac	pft. ac. sg. 3			9064
wu	wu	conj.			7826
iwi	iwi	part.			6863
waWA	waWA	adv.			6004
mahA	mahaw	iic.			5004
sa	wax	m. sg. nom.			4964
wawaH	wawas	adv.			4642
hi	hi	part.			4042
sarva	sarva	iic.			3856
iva	iva	part.			3669
wawra	wawra	adv.			3242
yaWA	yaWA	conj.			2915
evam	evam	adv.			2849
vA	vA	conj.			2780
waw	wax	n. sg. nom.			2768
wasya	wax	m. sg. g.			2706
yaH	yax	m. sg. nom.			2657
wam	wax	m. sg. acc.			2442
we	wax	m. pl. nom.			2173
vE	vE	conj.			2135
waw	wax	n. sg. acc.			2106
waw	wax	iic.			2042
waxA	waxA	adv.			1972
aWa	aWa	conj.			1825
yaw	yax	n. sg. nom.			1688
Bavew	BU	opt. [1] ac. sg. 3			1632
Xarma	Xarma	iic.			1613
awra	awra	adv.			1425
sarve	sarva	m. pl. nom.			1389
xqRtvA	xqRtvA	abs.	xqS		1380
ayam	ixam	m. sg. nom.			1366
saH	wax	m. sg. nom.			1320
ewaw	ewax	n. sg. nom.			1246
Bavawi	BU	pr. [1] ac. sg. 3			1235
ye	yax	m. pl. nom.			1198
me	asmax	* sg. g.			1179
sA	wax	f. sg. nom.			1166
asya	ixam	m. sg. g.			1160
aham	asmax	* sg. nom.			1155
syAw	as	opt. [2] ac. sg. 3			1145
xeva	xeva	iic.			1121
SruwvA	SruwvA	abs.	Sru		1112
sva	sva	iic.			1100
abravIw	brU	impft. [2] ac. sg. 3			1075
namaH	namas	n. sg. nom.			1072
vESampAyanaH	vESampAyana	m. sg. nom.			1065
iha	iha	adv.			1062
weRAm	wax	m. pl. g.			973
yawra	yawra	adv.			937
wena	wax	m. sg. i.			935
ucyawe	vac	pr. ps. sg. 3			934
wvam	yuRmax	* sg. nom.			933
yaxi	yaxi	conj.			926
we	yuRmax	* sg. g.			924
ha	ha	part.			913
arWam	arWa	m. sg. acc.			912
ixam	ixam	n. sg. nom.			901
rAjA	rAjan	m. sg. nom.			899
aswi	as	pr. [2] ac. sg. 3			892
kaWam	kaWam	adv.			874
rAja	rAjan	iic.			856
Axi	Axi	iic.			853
kqwvA	kqwvA	abs.	kq		845
wava	yuRmax	* sg. g.			833
mama	asmax	* sg. g.			825
yuXiRTiraH	yuXiRTira	m. sg. nom.			824
AwmA	Awman	m. sg. nom.			798
eRa	ewax	m. sg. nom.			797
saxA	saxA	adv.			795
brahma	brahman	iic.			787
Aha	ah	pft. ac. sg. 3			783
BIRmaH	BIRma	m. sg. nom.			772
nAma	nAma	prep.			747
wAm	wax	f. sg. acc.			731
ukwam	ukwa	n. sg. nom.	vac	pp.	727
yasya	yax	m. sg. g.			718
BArawa	BArawa	m. sg. voc.			712
ixam	ixam	n. sg. acc.			683
puwraH	puwra	m. sg. nom.			666
arWa	arWa	iic.			663
vAwa	vAwa	iic.	vA	pp.	659
jAyawe	jan	pr. [4] md. sg. 3			658
ewaw	ewax	n. sg. acc.			648
rAjan	rAjan	m. sg. voc.			643
sarvam	sarva	n. sg. nom.			637
kuryAw	kq	opt. [8] ac. sg. 3			634
XarmaH	Xarma	m. sg. nom.			621
wAn	wax	m. pl. acc.			615
kim	kim	n. sg. nom.			614
parama	parama	iic.			604
ukwaH	ukwa	m. sg. nom.	vac	pp.	595
kqwa	kqwa	iic.	kq	pp.	595
sma	sma	part.			594
saMSayaH	saMSaya	m. sg. nom.			590
yaxA	yaxA	adv.			588
BagavAn	Bagavaw	m. sg. nom.			585
eka	eka	iic.			584
nara	nara	iic.			564
loka	loka	iic.			563
saFjayaH	saFjaya	m. sg. nom.			560
yawaH	yawas	adv.			555
SrI	SrI	iic.			552
vacanam	vacana	n. sg. acc.			550
ewe	ewax	m. pl. nom.			549
piwwa	piwwa	iic.			546
bala	bala	iic.			540
mArkaNdeyaH	mArkaNdeya	m. sg. nom.			540
Awma	Awman	iic.			539
wasmin	wax	m. sg. loc.			537
loke	loka	m. sg. loc.			535
yAvaw	yAvaw	adv.			534
kAla	kAla	iic.			533
guNa	guNa	iic.			531
Barawa	Barawa	iic.			531
yaw	yax	n. sg. acc.			530
axya	axya	adv.			530
kAle	kAla	m. sg. loc.			524
puruRa	puruRa	iic.			523
qRayaH	qRi	m. pl. nom.			522
sawya	sawya	iic.			519
kaPa	kaPa	iic.			515
agni	agni	iic.			512
para	para	iic.			510
xevAH	xeva	m. pl. nom.			510
Bavanwi	BU	pr. [1] ac. pl. 3			509
BaviRyawi	BU	fut. ac. sg. 3			507
param	para	n. sg. nom.			506
awaH	awas	adv.			501
aBavaw	BU	impft. [1] ac. sg. 3			498
sama	sama	iic.			488
karma	karman	iic.			488
kAma	kAma	iic.			487
Pala	Pala	iic.			487
rasa	rasa	iic.			487
UcuH	vac	pft. ac. pl. 3			481
wena	wax	n. sg. i.			477
asO	axas	m. sg. nom.			475
anye	anya	m. pl. nom.			466
AhuH	ah	pft. ac. pl. 3			463
Sara	Sara	iic.			461
sarvam	sarva	n. sg. acc.			460
maXye	maXya	n. sg. loc.			458
AwmanaH	Awman	m. sg. g.			457
qRaBa	qRaBa	m. sg. voc.			456
BUwa	BUwa	iic.	BU	pp.	451
naraH	nara	m. sg. nom.			448
pUrva	pUrva	iic.			441
vexa	vexa	iic.			440
ukwvA	ukwvA	abs.	vac		437
AxayaH	Axi	m. pl. nom.			436
kqwam	kqwa	n. sg. nom.	kq	pp.	435
pApa	pApa	iic.			434
vacaH	vacas	n. sg. acc.			434
asi	as	pr. [2] ac. sg. 2			431
wri	wri	iic.			430
mayA	asmax	* sg. i.			429
bahu	bahu	iic.			424
asmi	as	pr. [2] ac. sg. 1			423
AwmAnam	Awman	m. sg. acc.			423
brahmA	brahman	m. sg. nom.			422
xoRa	xoRa	iic.			418
AsIw	as	impft. [2] ac. sg. 3			416
vAkyam	vAkya	n. sg. acc.	vac	pfp. [1]	416
puwra	puwra	iic.			414
raWa	raWa	iic.			414
Sawa	Sawa	iic.			412
raNe	raNa	m. sg. loc.			411
wAvaw	wAvaw	adv.			404
prawi	prawi	prep.			401
gawaH	gawa	m. sg. nom.	gam	pp.	395
agniH	agni	m. sg. nom.			391
suKa	suKa	iic.			389
ekaH	eka	m. sg. nom.			389
guru	guru	iic.			387
samyak	samyak	adv.			383
Palam	Pala	n. sg. nom.			382
ISvaraH	ISvara	m. sg. nom.			372
wasmAw	wax	n. sg. abl.			371
BUwAnAm	BUwa	n. pl. g.	BU	pp.	367
arWaH	arWa	m. sg. nom.			364
xevaH	xeva	m. sg. nom.			364
wO	wax	m. du. nom.			362
inxraH	inxra	m. sg. nom.			358
sarvAn	sarva	m. pl. acc.			357
vixyawe	vix	pr. ps. sg. 3			356
yA	yax	f. sg. nom.			355
parASaraH	parASara	m. sg. nom.			352
nAnA	nAnA	adv.			351
puruRaH	puruRa	m. sg. nom.			349
paraH	para	m. sg. nom.			346
vara	vara	iic.			346
jFAna	jFAna	iic.			346
wasyAH	wax	f. sg. g.			345
sarveRAm	sarva	m. pl. g.			344
xaxyAw	xA	opt. [3] ac. sg. 3			344
wapasA	wapas	n. sg. i.			343
we	yuRmax	* sg. dat.			342
sawyam	sawya	n. sg. nom.			342
brAhmaNaH	brAhmaNa	m. sg. nom.			342
wAwa	wAwa	m. sg. voc.			336
kuru	kuru	iic.			336
smqwaH	smqwa	m. sg. nom.	smq	pp.	335
mahAn	mahaw	m. sg. nom.			333
viRa	viRa	iic.			332
yoga	yoga	iic.			328
piwA	piwq	m. sg. nom.			326
iyam	ixam	f. sg. nom.			325
om	om	part.			325
inxra	inxra	m. sg. voc.			324
wvayA	yuRmax	* sg. i.			324
varaH	vara	m. sg. nom.			323
anwe	anwa	m. sg. loc.			322
aBUw	BU	aor. [1] ac. sg. 3			322
Xqwa-rARtraH	XqwarARtra	m. sg. nom.	Xq		322
balam	bala	n. sg. nom.			320
rUpa	rUpa	iic.			318
balaH	bala	m. sg. nom.			318
varRa	varRa	iic.			317
pqWak	pqWak	adv.			316
muni	muni	iic.			316
gawvA	gawvA	abs.	gam		316
karma	karman	n. sg. acc.			314
kAraNam	kAraNa	n. sg. nom.			313
xuHKa	xuHKa	iic.			313
SqNu	Sru	imp. [5] ac. sg. 2			312
Palam	Pala	n. sg. acc.			312
baBUva	BU	pft. ac. sg. 3			312
Xarmam	Xarma	m. sg. acc.			311
SarEH	Sara	m. pl. i.			308
rakwa	rakwa	iic.	raFj	pp.	305
varNa	varNa	iic.			302
inxra	inxra	iic.			301
arjunaH	arjuna	m. sg. nom.			301
praBuH	praBu	m. sg. nom.			300
piwq	piwq	iic.			299
kaH	kim	m. sg. nom.			296
mAm	asmax	* sg. acc.			296
kula	kula	iic.			294
puRpa	puRpa	iic.			293
karmaNA	karman	n. sg. i.			293
wawwva	wawwva	iic.			292
canxra	canxra	iic.			292
wasmin	wax	n. sg. loc.			292
manaH	manas	n. sg. nom.			291
vinA	vinA	prep.			290
anyaw	anya	n. sg. nom.			290
lokam	loka	m. sg. acc.			290
anyaWA	anyaWA	adv.			289
sWiwaH	sWiwa	m. sg. nom.	sWA	pp.	288
aswu	as	imp. [2] ac. sg. 3			288
karma	karman	n. sg. nom.			288
cew	cex	conj.			286
Soka	Soka	iic.			283
