a	s	10813
a	a	9801
m	w	9550
a	w	9534
m	a	9262
m	p	9238
a	v	9130
a	p	8967
m	c	8882
m	v	8576
m	s	8444
aH	w	7938
aH	s	7555
aH	u	7454
a	c	7108
a	m	6992
m	k	6346
aH	a	6302
a	k	6279
aH	p	6206
aH	c	6102
a	e	6049
m	x	5342
m	m	5086
a	x	4976
m	n	4651
aH	v	4592
a	n	4464
m	S	4309
a	B	4281
m	i	4212
a	y	4171
aH	k	4146
a	S	4132
e	w	4004
m	A	3915
A	w	3715
A	s	3626
m	y	3604
aH	m	3566
e	s	3465
m	B	3436
m	u	3313
m	e	3258
aH	S	3250
A	p	3249
a	r	3240
A	v	3218
i	s	3169
aH	n	3119
e	p	3088
e	v	3050
i	c	2967
e	c	2895
aH	x	2868
w	w	2774
AH	c	2754
i	w	2745
i	v	2696
aH	B	2664
A	c	2638
a	A	2633
a	h	2627
AH	w	2618
AH	s	2617
i	p	2536
m	r	2524
w	s	2507
w	p	2440
m	g	2440
w	v	2391
e	n	2363
i	a	2352
aH	y	2305
a	g	2300
A	a	2290
w	a	2245
A	k	2236
a	j	2208
e	k	2206
m	h	2189
m	j	2186
a	b	2175
a	i	2172
e	m	2141
m	b	2118
A	m	2085
A	x	2080
a	u	2037
e	x	1993
i	m	1941
w	c	1898
AH	p	1874
A	e	1820
i	k	1818
e	a	1772
A	n	1748
w	k	1735
a	X	1702
aH	i	1692
e	y	1690
i	n	1659
u	s	1611
A	B	1594
A	S	1586
i	y	1541
aH	e	1492
A	y	1475
aH	h	1474
AH	v	1453
u	w	1423
i	x	1419
e	S	1411
u	v	1384
aH	j	1380
m	X	1373
aH	b	1325
aH	g	1299
n	a	1272
w	x	1270
n	c	1270
A	u	1264
A	r	1262
e	r	1241
a	l	1214
n	p	1202
i	B	1199
i	e	1196
e	B	1188
i	S	1179
EH	c	1177
n	s	1176
u	p	1166
w	S	1156
m	l	1145
n	v	1135
AH	k	1102
i	i	1101
n	w	1071
