a	a	1	14267
a	v	1	12838
a	s	1	10927
a	s	2	10813
a	p	1	10330
a	a	2	9801
m	w	2	9550
a	w	2	9534
m	a	2	9262
m	p	2	9238
a	A	1	9212
a	v	2	9130
a	k	1	9046
a	p	2	8967
m	c	2	8882
m	v	2	8576
m	s	2	8444
aH	w	2	7938
aH	s	2	7555
aH	u	2	7454
a	c	2	7108
a	m	2	6992
a	m	1	6447
m	k	2	6346
aH	a	2	6302
a	k	2	6279
a	x	1	6234
aH	p	2	6206
aH	c	2	6102
a	e	2	6049
a	S	1	5353
m	x	2	5342
m	m	2	5086
a	x	2	4976
a	u	1	4976
m	n	2	4651
aH	v	2	4592
a	n	2	4464
a	r	1	4367
m	S	2	4309
a	B	2	4281
m	i	2	4212
a	B	1	4206
a	y	2	4171
aH	k	2	4146
a	S	2	4132
e	w	2	4004
a	g	1	3932
m	A	2	3915
a	n	1	3717
A	w	2	3715
A	s	2	3626
m	y	2	3604
aH	m	2	3566
a	j	1	3536
e	s	2	3465
m	B	2	3436
m	u	2	3313
m	e	2	3258
aH	S	2	3250
A	p	2	3249
a	r	2	3240
A	v	2	3218
i	s	2	3169
aH	n	2	3119
e	p	2	3088
e	v	2	3050
i	c	2	2967
a	w	1	2931
e	c	2	2895
aH	x	2	2868
w	w	2	2774
AH	c	2	2754
i	w	2	2745
a	c	1	2730
i	v	2	2696
aH	B	2	2664
A	c	2	2638
a	A	2	2633
a	h	2	2627
AH	w	2	2618
AH	s	2	2617
i	p	2	2536
m	r	2	2524
w	s	2	2507
w	p	2	2440
m	g	2	2440
w	v	2	2391
e	n	2	2363
i	a	2	2352
a	X	1	2309
aH	y	2	2305
a	g	2	2300
A	a	2	2290
a	l	1	2260
w	a	2	2245
A	k	2	2236
a	y	1	2215
a	j	2	2208
e	k	2	2206
m	h	2	2189
m	j	2	2186
a	b	2	2175
a	i	2	2172
a	h	1	2153
e	m	2	2141
m	b	2	2118
A	m	2	2085
A	x	2	2080
a	u	2	2037
e	x	2	1993
i	m	2	1941
w	c	2	1898
AH	p	2	1874
A	e	2	1820
i	k	2	1818
e	a	2	1772
A	n	2	1748
w	k	2	1735
a	X	2	1702
aH	i	2	1692
e	y	2	1690
i	n	2	1659
a	b	1	1638
u	s	2	1611
A	B	2	1594
A	S	2	1586
i	y	2	1541
aH	e	2	1492
a	i	1	1481
A	y	2	1475
aH	h	2	1474
AH	v	2	1453
i	s	1	1428
u	w	2	1423
i	x	2	1419
e	S	2	1411
u	v	2	1384
aH	j	2	1380
m	X	2	1373
i	p	1	1346
aH	b	2	1325
a	q	1	1323
aH	g	2	1299
n	a	2	1272
w	x	2	1270
n	c	2	1270
A	u	2	1264
A	r	2	1262
a	I	1	1244
e	r	2	1241
i	v	1	1227
a	l	2	1214
n	p	2	1202
i	B	2	1199
i	e	2	1196
e	B	2	1188
i	S	2	1179
EH	c	2	1177
n	s	2	1176
A	a	1	1169
u	p	2	1166
w	S	2	1156
m	l	2	1145
n	v	2	1135
AH	k	2	1102
i	i	2	1101
n	w	2	1071
w	y	2	1064
A	i	2	1057
i	k	1	1056
u	k	2	1018
AH	m	2	999
w	m	2	988
w	e	2	986
aH	X	2	970
w	B	2	967
A	b	1	952
A	h	2	934
u	c	2	933
AH	n	2	920
A	g	2	916
u	m	2	903
i	u	2	875
iH	c	2	844
AH	x	2	842
u	a	2	841
i	r	2	840
AH	S	2	837
n	k	2	836
w	i	2	834
w	n	2	833
i	x	1	818
A	b	2	816
i	a	1	814
n	x	2	807
AH	y	2	804
iH	s	2	803
e	h	2	803
u	y	2	799
